

GENERAL INFORMATIONS

Informations on NET;;
;;
Version;anNET 1.1.06;
Date;15-Sep-2016 14:52:36;
Model;/ssd/common/tools/anNET/1.1.06/Ecoli_JR904.csv;
Data;/ssd/common/tools/anNET/1.1.06/Schaub.csv;
Thermo;/ssd/common/tools/anNET/1.1.06/Alberty_ext.csv;
Solver;fmincon;
Time elapsed;00:21:50;
;;
Original size;;
Metabolites;762;
Reactions;923;
;;
Reduced model;;
Metabolites;144;
Reactions;163;
Sums;4;
Ratios;3;



CONCENTRATIONS

Metabolite;DfG'�;Range Min;Range Max;Optim Min;Optim Max;
g6p + f6p;;0.432;0.528;0.432;0.528;
dhap + g3p;;0.603;0.737;0.603;0.737;
ru5p-D + r5p + xu5p-D;;0.135;0.165;0.135;0.165;
2pg + 3pg;;3.636;4.444;3.82202;4.444;
nadph/nadp;;1e-05;10;0.000976494;9.0112;
nadh/nad;;1e-05;10;1.00019e-05;0.00301219;
atp + (0.5) adp / atp + adp + amp;;0.01;10;0.114694;0.81638;
13dpg[c];-2191.52;0.0001;10;0.144041;10;
2ddg6p[c];-1428.76;0.0001;10;0.0001;10;
2dr1p[c];-1046.02;0.0001;10;0.0001;10;
2dr5p[c];-1054.1;0.0001;10;0.0001;10;
2pg[c];-1326.8;0.0001;4.444;0.304652;0.354229;
3dhq[c];-458.558;0.0001;10;0.000236183;10;
3dhsk[c];-313.301;0.0001;10;0.00108364;10;
3pg[c];-1332.86;0.0001;4.444;3.51737;4.13935;
3php[c];-1366.79;0.0001;10;0.0001;1.72274;
4mop[c];-49.134;0.0001;10;0.0001;10;
6pgc[c];-1535.64;0.0001;10;0.0001;10;
6pgl[c];-1352.22;0.567;0.693;0.567;0.693;
aacoa[c];-64.9294;0.0001;10;0.0001;10;
acac[c];-262.099;0.0001;10;0.0001;10;
acald[c];37.3125;0.0001;10;0.0001;10;
accoa[c];-48.1257;0.0001;10;0.0001;10;
actp[c];-1094.02;0.0001;10;0.0001;10;
ac[c];-237.775;0.0001;10;0.0001;10;
ade[c];533.79;0.0001;10;0.0001;10;
adn[c];378.515;0.0001;10;0.0001;10;
adp[c];-1383.63;0.702;0.858;0.702;0.858;
akg[c];-619.886;0.0001;10;0.0001;10;
ala-L[c];-62.4765;0.0001;10;0.0001;10;
amp[c];-514.407;0.0001;10;0.0001;10;
aps[c];-1013.74;0.0001;10;0.0001;10;
ara5p[c];-1204.52;0.0001;10;0.0001;0.253032;
asn-L[c];-173.305;0.0001;10;0.0001;10;
asp-L[c];-432.154;0.0001;10;0.0001;10;
atp[c];-2250.56;0.99;1.21;0.99;1.21;
but[c];-44.7802;0.0001;10;0.0001;10;
camp[c];-321.83;0.0001;10;0.0001;10;
cit[c];-948.601;0.0001;10;0.00146199;10;
